team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Steelers,PIT,28,WR,551029642,Mike Williams,8,0,8780,18,5,42.90,20,90.00,1,55,2,84,309,4.20,15.45,57.32
Texans,HOU,31,TE,551030096,Tyler Warren,0,0,3363,11,6,121.80,25,86.81,4,87,10,292,618,11.68,24.72,99.67
Texans,HOU,31,WR,551028795,Ricky Pearsall,1,0,10206,14,4,40.10,8,93.75,1,58,3,81,221,10.12,27.62,54.21
Texans,HOU,31,HB,551026688,Israel Abanikanda,2,0,361,0,6,50.60,20,94.45,1,56,4,141,235,7.05,11.75,37.22
Texans,HOU,31,WR,551027341,Tank Dell,2,0,2090,3,6,67.00,28,100.00,0,60,7,136,490,4.86,17.50,86.06
Texans,HOU,31,WR,551027203,Nico Collins,4,0,1148,12,6,47.00,21,93.33,2,41,2,164,350,7.81,16.67,69.08
Texans,HOU,31,WR,551029551,Quez Watkins,5,0,651,16,1,1.00,1,100.00,0,10,0,5,10,5.00,10.00,3.33
Texans,HOU,31,TE,551029084,Dalton Schultz,7,0,9050,86,1,2.80,2,100.00,0,16,0,11,28,5.50,14.00,9.33
Texans,HOU,31,WR,551027361,Stefon Diggs,10,0,7085,1,4,11.40,13,87.50,1,80,2,97,207,7.46,15.92,36.09
Titans,TEN,29,FB,551029813,British Brooks,1,0,0,44,2,10.90,2,100.00,0,50,1,31,49,15.50,24.50,8.99
Titans,TEN,29,TE,551029602,Josh Whyle,2,0,2475,81,3,4.50,5,66.67,1,15,0,16,45,3.20,9.00,6.72
Titans,TEN,29,HB,551029224,Tyjae Spears,2,0,2405,2,6,32.90,14,100.00,0,20,1,85,117,6.07,8.36,18.83
Titans,TEN,29,TE,551028720,Chigoziem Okonkwo,3,0,1869,85,6,44.10,28,97.62,1,36,4,100,326,3.57,11.64,56.15
Titans,TEN,29,WR,551027061,Treylon Burks,3,0,1226,16,6,31.00,24,96.67,1,31,1,96,297,4.00,12.38,38.44
Titans,TEN,29,HB,551028863,Tony Pollard,6,0,9600,20,5,4.00,13,75.00,2,41,2,117,144,9.00,11.08,24.48
Titans,TEN,29,WR,551028970,Calvin Ridley,7,0,9038,0,6,40.30,33,96.40,2,36,2,106,476,3.21,14.42,62.54
Titans,TEN,29,WR,551026961,Tyler Boyd,9,0,7903,83,6,59.70,26,97.62,1,45,4,121,357,4.65,13.73,56.87
Vikings,MIN,30,WR,551026704,Jordan Addison,2,0,813,3,6,45.20,17,83.61,5,72,2,141,332,8.29,19.53,65.24
Vikings,MIN,30,WR,551028651,Jalen Nailor,3,0,1863,83,6,57.90,30,88.64,3,50,5,117,452,3.90,15.07,52.79
Vikings,MIN,30,HB,551027143,Ty Chandler,3,0,1267,32,2,0.70,2,100.00,0,8,0,11,14,5.50,7.00,3.50
Vikings,MIN,30,WR,551028042,Justin Jefferson,5,0,385,18,6,92.60,57,87.56,7,61,10,203,873,3.56,15.32,139.83
Vikings,MIN,30,TE,551028732,Josh Oliver,6,0,9590,84,2,1.50,2,100.00,0,9,0,12,15,6.00,7.50,3.38
Vikings,MIN,30,TE,551027893,T.J. Hockenson,6,0,9503,87,6,29.30,18,100.00,0,31,1,70,233,3.89,12.94,42.57
Vikings,MIN,30,HB,551028117,Aaron Jones,8,0,8609,33,3,31.20,6,100.00,0,13,0,32,41,5.33,6.83,10.25
